,Rank,Name,Net Worth,Age,Source,Category
834,831.,"James Cargill, II.",$3.6 B,71,Cargill,Food & Beverage
835,831.,Chu Lam Yiu,$3.6 B,51,flavorings,Manufacturing
836,831.,Steve Conine,$3.6 B,48,online retail,Technology
837,831.,Hu Kaijun,$3.6 B,59,pharmaceuticals,Healthcare
838,831.,S. Curtis Johnson,$3.6 B,65,cleaning products,Manufacturing
839,831.,Helen Johnson-Leipold,$3.6 B,64,cleaning products,Manufacturing
840,831.,Daryl Katz,$3.6 B,59,pharmacies,Diversified
841,831.,Peter Kellogg,$3.6 B,78,investments,Finance & Investments
842,831.,Samuel Tak Lee,$3.6 B,81,real estate,Real Estate
843,831.,Li Hongxin & family,$3.6 B,68,paper & related products,Manufacturing
844,831.,Marianne Liebmann,$3.6 B,67,Cargill,Food & Beverage
845,831.,Winifred J. Marquart,$3.6 B,62,cleaning products,Manufacturing
846,831.,Daniel Och,$3.6 B,60,hedge funds,Finance & Investments
847,831.,Anthony Pritzker,$3.6 B,60,"hotels, investments",Service
848,831.,Rodger Riney & family,$3.6 B,75,discount brokerage,Finance & Investments
849,831.,Niraj Shah,$3.6 B,47,online retail,Technology
850,831.,Lynsi Snyder,$3.6 B,38,In-N-Out Burger,Food & Beverage
851,831.,Jerzy Starak,$3.6 B,73,pharmaceuticals,Healthcare
852,831.,Michael Tojner,$3.6 B,55,"batteries, investments",Manufacturing
853,831.,Richard Tsai,$3.6 B,63,finance,Finance & Investments
854,831.,Ty Warner,$3.6 B,76,"real estate, plush toys",Real Estate
855,831.,Yang Shaopeng,$3.6 B,63,shipping,Logistics
856,831.,Yuan Liping,$3.6 B,50,pharmaceuticals,Healthcare
857,831.,Zhang Hongwei,$3.6 B,66,"oil, banking",Diversified
858,859.,Andrej Babis,$3.5 B,66,agriculture,Food & Beverage
859,859.,Shyam & Hari Bhartia,$3.5 B,68,diversified,Diversified
860,859.,Hubert Burda,$3.5 B,81,publishing,Media & Entertainment
861,859.,Chuchat Petaumpai & Daonapa Petampai,$3.5 B,67,motorcycle loans,Finance & Investments
862,859.,Charles Cohen,$3.5 B,69,real estate,Real Estate
863,859.,David Filo,$3.5 B,54,Yahoo,Technology
864,859.,Sergei Galitsky,$3.5 B,53,retail,Fashion & Retail
865,859.,Alessandra Garavoglia,$3.5 B,61,spirits,Food & Beverage
866,859.,Franco Bittar Garcia,$3.5 B,37,retailing,Fashion & Retail
867,859.,Martha Ingram & family,$3.5 B,85,"book distribution, transportation",Media & Entertainment
868,859.,H. Fisk Johnson,$3.5 B,62,cleaning products,Manufacturing
869,859.,Li Guoqiang,$3.5 B,57,auto dealerships,Automotive
870,859.,Lim Wee Chai,$3.5 B,63,rubber gloves,Manufacturing
871,859.,Liu Xiaodong,$3.5 B,53,flavorings,Manufacturing
872,859.,Daniel Loeb,$3.5 B,59,hedge funds,Finance & Investments
873,859.,Jim McKelvey,$3.5 B,55,mobile payments,Technology
874,859.,Apoorva Mehta,$3.5 B,34,grocery delivery service,Technology
875,859.,N.R. Narayana Murthy,$3.5 B,74,software services,Technology
876,859.,John Paulson,$3.5 B,65,hedge funds,Finance & Investments
877,859.,J.B. Pritzker,$3.5 B,56,"hotels, investments",Finance & Investments
878,859.,Michael Rubin,$3.5 B,48,online retail,Fashion & Retail
879,859.,Arnout Schuijff,$3.5 B,53,payments software,Technology
880,859.,Thomas Secunda,$3.5 B,66,Bloomberg LP,Media & Entertainment
881,859.,Vivek Chaand Sehgal,$3.5 B,64,auto parts,Automotive
882,859.,E. Joe Shoen,$3.5 B,71,U-Haul,Automotive
883,859.,Leena Tewari,$3.5 B,63,pharmaceuticals,Healthcare
884,859.,Julia Thiele-Schuerhoff,$3.5 B,N/A,brakes,Manufacturing
885,859.,Romesh T. Wadhwani,$3.5 B,73,software,Technology
886,859.,Wu Shaoxun,$3.5 B,65,wine,Food & Beverage
887,859.,Ye Guofu,$3.5 B,43,retail,Fashion & Retail
888,859.,Denise York & family,$3.5 B,70,San Francisco 49ers,Sports
889,859.,Zhou Jianping,$3.5 B,60,fashion retail,Fashion & Retail
890,891.,Mohed Altrad,$3.4 B,73,"scaffolding, cement mixers",Construction & Engineering
891,891.,Gayle Benson,$3.4 B,74,pro sports teams,Sports
892,891.,Francesco Gaetano Caltagirone,$3.4 B,78,"cement, diversified",Construction & Engineering
893,891.,"William Conway, Jr.",$3.4 B,71,private equity,Finance & Investments
894,891.,Jim Davis,$3.4 B,61,staffing & recruiting,Service
895,891.,Deng Wen,$3.4 B,53,flavorings,Food & Beverage
896,891.,Ennio Doris & family,$3.4 B,80,financial services,Finance & Investments
897,891.,Bernard Ecclestone & family,$3.4 B,90,Formula One,Sports
898,891.,Alexander Frolov,$3.4 B,56,"mining, steel",Metals & Mining
899,891.,Fiona Geminder,$3.4 B,56,manufacturing,Manufacturing
900,891.,Zarakh Iliev,$3.4 B,54,real estate,Real Estate
901,891.,Viktor Kharitonin,$3.4 B,48,pharmaceuticals,Healthcare
902,891.,Steven Klinsky,$3.4 B,64,investments,Finance & Investments
903,891.,Chris Larsen,$3.4 B,60,cryptocurrency,Finance & Investments
904,891.,Angela Leong,$3.4 B,60,casinos,Real Estate
905,891.,Margarita Louis-Dreyfus & family,$3.4 B,58,commodities,Food & Beverage
906,891.,John Middleton,$3.4 B,66,tobacco,Food & Beverage
907,891.,Arnon Milchan,$3.4 B,76,movie making,Media & Entertainment
908,891.,Arturo Moreno,$3.4 B,74,"billboards, Anaheim Angels",Sports
909,891.,God Nisanov,$3.4 B,48,real estate,Real Estate
910,891.,Benjamin Zhengmin Pan & family,$3.4 B,51,electronics,Technology
911,891.,Jay Paul,$3.4 B,73,real estate,Real Estate
912,891.,Remo Ruffini,$3.4 B,59,winter jackets,Fashion & Retail
913,891.,Patrick Ryan,$3.4 B,83,insurance,Finance & Investments
914,891.,RJ Scaringe,$3.4 B,38,electric vehicles,Automotive
915,891.,Lynn Schusterman,$3.4 B,82,"oil & gas, investments",Energy
916,891.,Eric Ya Shen,$3.4 B,50,online apparel retail,Technology
917,891.,Daniel Tsai,$3.4 B,64,finance,Finance & Investments
918,891.,Tung Chee Chen,$3.4 B,78,shipping,Logistics
919,891.,Bulat Utemuratov,$3.4 B,63,"mining, banking, hotels",Metals & Mining
920,891.,Frank VanderSloot,$3.4 B,72,"nutrition, wellness products",Fashion & Retail
921,891.,Kelcy Warren,$3.4 B,65,pipelines,Energy
922,891.,Xu Yi,$3.4 B,31,Internet,Media & Entertainment
923,891.,Vladimir Yevtushenkov,$3.4 B,72,"telecom, investments",Telecom
924,925.,Somphote Ahunai,$3.3 B,53,renewable energy,Energy
925,925.,John Arnold,$3.3 B,47,hedge funds,Finance & Investments
926,925.,Neal Blue & family,$3.3 B,86,defense,Manufacturing
927,925.,Alejandro Bulgheroni,$3.3 B,76,oil & gas,Energy
928,925.,Dong Jinggui,$3.3 B,51,electric scooters,Automotive
929,925.,Joseph Edelman,$3.3 B,65,hedge funds,Finance & Investments
930,925.,Charles Edelstenne,$3.3 B,83,aviation,Manufacturing
931,925.,Senapathy Gopalakrishnan,$3.3 B,66,software services,Technology
932,925.,B. Wayne Hughes,$3.3 B,87,self storage,Service
933,925.,Ravi Jaipuria,$3.3 B,66,"soft drinks, fast food",Food & Beverage
934,925.,Samvel Karapetyan,$3.3 B,55,real estate,Construction & Engineering
935,925.,Vyacheslav Kim,$3.3 B,51,fintech,Finance & Investments
936,925.,Jim Koch,$3.3 B,71,beer,Food & Beverage
937,925.,"Andre Koo, Sr.",$3.3 B,53,financial services,Finance & Investments
938,925.,Yuri Kovalchuk,$3.3 B,69,"banking, insurance, media",Finance & Investments
939,925.,Richard LeFrak & family,$3.3 B,75,real estate,Real Estate
940,925.,Kevin David Lehmann,$3.3 B,18,drugstores,Fashion & Retail
941,925.,Horst Paulmann & family,$3.3 B,86,retail,Fashion & Retail
942,925.,Jean (Gigi) Pritzker,$3.3 B,58,"hotels, investments",Service
943,925.,Qi Xiangdong,$3.3 B,50,software,Technology
944,925.,Renzo Rosso & family,$3.3 B,65,fashion,Fashion & Retail
945,925.,Stephen Rubin,$3.3 B,84,sports apparel,Fashion & Retail
946,925.,"Bernard Saul, II.",$3.3 B,88,"banking, real estate",Finance & Investments
947,925.,Klaus-Peter Schulenberg,$3.3 B,N/A,ticketing service,Service
948,925.,Tahir & family,$3.3 B,69,diversified,Diversified
949,925.,Lucio Tan,$3.3 B,86,diversified,Diversified
950,925.,Lottie Tham & family,$3.3 B,71,H&M,Fashion & Retail
951,925.,Wang Wenxue,$3.3 B,53,real estate,Real Estate
952,925.,Hans Peter Wild,$3.3 B,79,flavorings,Food & Beverage
953,925.,"William Wrigley, Jr.",$3.3 B,57,chewing gum,Food & Beverage
954,925.,Zhang Xin & Pan Shiyi,$3.3 B,55,real estate,Real Estate
955,956.,Giuliana Benetton,$3.2 B,83,"fashion retail, investments",Fashion & Retail
956,956.,Luciano Benetton,$3.2 B,85,"fashion retail, investments",Fashion & Retail
957,956.,Tomasz Biernacki,$3.2 B,48,supermarkets,Fashion & Retail
958,956.,Chey Tae-won,$3.2 B,60,"oil, semiconductor",Telecom
959,956.,John Collison,$3.2 B,30,payments software,Technology
960,956.,Patrick Collison,$3.2 B,32,payment software,Technology
961,956.,Jack Cowin,$3.2 B,78,fast food,Food & Beverage
962,956.,Archie Aldis Emmerson & family,$3.2 B,91,"timberland, lumber mills",Manufacturing
963,956.,Yoichi & Keiko Erikawa,$3.2 B,N/A,videogames,Media & Entertainment
964,956.,Juan Carlos Escotet,$3.2 B,61,banking,Finance & Investments
965,956.,Carlo Fidani,$3.2 B,66,real estate,Real Estate
966,956.,Don Hankey,$3.2 B,77,auto loans,Finance & Investments
967,956.,Otto Happel,$3.2 B,73,engineering,Construction & Engineering
968,956.,He Zhaoxi,$3.2 B,47,software,Technology
969,956.,Heidi Horten,$3.2 B,80,retail,Fashion & Retail
970,956.,Ke Zunhong & family,$3.2 B,66,pharmaceuticals,Healthcare
971,956.,Thai Lee,$3.2 B,62,IT provider,Technology
972,956.,Mikhail Lomtadze,$3.2 B,45,fintech,Finance & Investments
973,956.,Ronald McAulay,$3.2 B,85,energy,Energy
974,956.,Maja Oeri,$3.2 B,66,Pharmaceuticals,Healthcare
975,956.,James Packer,$3.2 B,53,casinos,Gambling & Casinos
976,956.,John Sall,$3.2 B,73,software,Technology
977,956.,Naguib Sawiris,$3.2 B,66,telecom,Telecom
978,956.,Zygmunt Solorz-Zak,$3.2 B,64,TV broadcasting,Media & Entertainment
979,956.,Lawrence Stroll,$3.2 B,61,fashion investments,Fashion & Retail
980,956.,Rita Tong Liu,$3.2 B,72,real estate,Real Estate
981,956.,Tsai Cheng-ta,$3.2 B,71,finance,Finance & Investments
982,956.,Tsai Hong-tu,$3.2 B,68,finance,Finance & Investments
983,956.,Steve Wynn,$3.2 B,79,"casinos, hotels",Gambling & Casinos
984,956.,Zhang Li,$3.2 B,68,real estate,Real Estate
985,986.,Otto Philipp Braun,$3.1 B,43,medical technology,Healthcare
986,986.,John Caudwell,$3.1 B,68,mobile phones,Telecom
987,986.,Chi Yufeng,$3.1 B,50,software,Technology
988,986.,Camilla de Godoy Bueno Grossi,$3.1 B,42,medical labs,Healthcare
989,986.,Antonio Del Valle Ruiz & family,$3.1 B,82,chemicals,Manufacturing
990,986.,Martin Ebner,$3.1 B,75,investments,Finance & Investments
991,986.,John Fisher,$3.1 B,59,Gap,Fashion & Retail
992,986.,Jane Goldman,$3.1 B,65,real estate,Real Estate
993,986.,Gu Yuhua & family,$3.1 B,71,furniture,Manufacturing
994,986.,Hao Hong,$3.1 B,65,pharmaceuticals,Healthcare
995,986.,Hoi Kin Hong,$3.1 B,68,real estate,Real Estate
996,986.,Jin Lei,$3.1 B,55,pharmaceuticals,Healthcare
997,986.,Artem Khachatryan,$3.1 B,46,retail,Fashion & Retail
998,986.,Li Gaiteng,$3.1 B,48,hair dryers,Manufacturing
999,986.,Li Zhongchu,$3.1 B,57,software,Technology
1000,986.,Harald Link,$3.1 B,66,diversified,Diversified
1001,986.,Sergey Lomakin,$3.1 B,47,retail,Fashion & Retail
1002,986.,Nie Tengyun & family,$3.1 B,45,logistics,Service
1003,986.,Prasert Prasarttong-Osoth,$3.1 B,88,hospitals,Healthcare
1004,986.,Penny Pritzker,$3.1 B,61,"hotels, investments",Finance & Investments
1005,986.,Herb Simon,$3.1 B,86,real estate,Real Estate
1006,986.,Jerry Speyer,$3.1 B,80,real estate,Real Estate
1007,1008.,Wilhelm Beier & family,$3 B,64,pharmaceuticals,Healthcare
1008,1008.,Koos Bekker,$3 B,68,"media, investments",Media & Entertainment
1009,1008.,Ben Chestnut,$3 B,46,email marketing,Technology
1010,1008.,John Coates,$3 B,51,online gambling,Gambling & Casinos
1011,1008.,Pedro de Godoy Bueno,$3 B,30,health insurance,Healthcare
1012,1008.,Carl Douglas,$3 B,59,investments,Diversified
1013,1008.,Eric Douglas,$3 B,52,investments,Diversified
1014,1008.,Behdad Eghbali,$3 B,44,private equity,Finance & Investments
1015,1008.,Jose E. Feliciano,$3 B,47,private equity,Finance & Investments
1016,1008.,Philippe Foriel-Destezet,$3 B,85,employment agency,Service
1017,1008.,Gan Zhongru,$3 B,72,pharmaceuticals,Healthcare
1018,1008.,Allan Goldman,$3 B,78,real estate,Real Estate
1019,1008.,Amy Goldman Fowler,$3 B,66,real estate,Real Estate
1020,1008.,Alec Gores,$3 B,68,private equity,Finance & Investments
1021,1008.,Peter Grogg,$3 B,79,biochemicals,Healthcare
1022,1008.,Jimmy Haslam,$3 B,67,"gas stations, retail",Fashion & Retail
1023,1008.,Christian Haub,$3 B,56,retail,Fashion & Retail
1024,1008.,Gudrun Heine,$3 B,66,medical devices,Healthcare
1025,1008.,Huang Jinfeng,$3 B,38,e-commerce,Fashion & Retail
1026,1008.,Huang Rulun,$3 B,69,real estate,Real Estate
1027,1008.,James Irsay,$3 B,61,Indianapolis Colts,Sports
1028,1008.,Justin Ishbia,$3 B,43,"private equity
★",Finance & Investments
1029,1008.,Diane Kemper,$3 B,75,real estate,Real Estate
1030,1008.,George Kurtz,$3 B,50,security software,Technology
1031,1008.,Dan Kurzius,$3 B,49,email marketing,Technology
1032,1008.,Kwek Leng Beng,$3 B,80,diversified,Diversified
1033,1008.,Geoffrey Kwok,$3 B,35,real estate,Real Estate
1034,1008.,Sheldon Lavin,$3 B,88,meat processing,Food & Beverage
1035,1008.,Louis Le Duff,$3 B,74,bakeries,Food & Beverage
1036,1008.,James Leprino,$3 B,83,cheese,Food & Beverage
1037,1008.,Joseph Liemandt,$3 B,52,software,Technology
1038,1008.,Peter Lim,$3 B,67,investments,Finance & Investments
1039,1008.,Jeffrey Lurie,$3 B,69,Philadelphia Eagles,Sports
1040,1008.,Tom Morris,$3 B,66,retail,Fashion & Retail
1041,1008.,Or Wai Sheun,$3 B,69,real estate,Real Estate
1042,1008.,P.V. Ramprasad Reddy,$3 B,63,pharmaceuticals,Healthcare
1043,1008.,Haim Saban,$3 B,76,"TV network, investments",Media & Entertainment
1044,1008.,Ferit Faik Sahenk,$3 B,57,diversified,Diversified
1045,1008.,Eddy Kusnadi Sariaatmadja,$3 B,67,"media, tech",Media & Entertainment
1046,1008.,Gil Shwed,$3 B,52,software,Technology
1047,1008.,Song Zuowen,$3 B,74,"aluminum, diversified",Diversified
1048,1008.,Friede Springer,$3 B,78,publishing,Media & Entertainment
1049,1008.,Sybill Storz,$3 B,84,medical devices,Healthcare
1050,1008.,Pat Stryker,$3 B,65,medical equipment,Healthcare
1051,1008.,Hans Sy,$3 B,65,diversified,Diversified
1052,1008.,Herbert Sy,$3 B,64,diversified,Diversified
1053,1008.,Andrew Tan,$3 B,71,diversified,Diversified
1054,1008.,Tian Ming,$3 B,67,measuring instruments,Technology
1055,1008.,Wang Changtian,$3 B,55,"TV, movie production",Media & Entertainment
1056,1008.,Richard White,$3 B,66,software,Technology
1057,1008.,Cameron Winklevoss,$3 B,39,cryptocurrency,Finance & Investments
1058,1008.,Tyler Winklevoss,$3 B,39,cryptocurrency,Finance & Investments
1059,1008.,Xia Zuoquan,$3 B,59,automobiles,Automotive
1060,1008.,Yin Xin,$3 B,36,video streaming app,Media & Entertainment
1061,1008.,Zhang Lei,$3 B,48,investments,Finance & Investments
1062,1008.,Zhu Xingming,$3 B,54,electrical equipment,Manufacturing
1063,1064.,Juan Abello,$2.9 B,79,investments,Finance & Investments
1064,1064.,Ben Ashkenazy,$2.9 B,51,real estate,Real Estate
1065,1064.,Sid Bass,$2.9 B,78,"oil, investments",Energy
1066,1064.,Joesley Batista,$2.9 B,49,beef processing,Food & Beverage
1067,1064.,Wesley Batista,$2.9 B,48,beef packing,Food & Beverage
1068,1064.,Riley Bechtel & family,$2.9 B,69,"engineering, construction",Construction & Engineering
1069,1064.,Sanjeev Bikhchandani,$2.9 B,57,Internet,Technology
1070,1064.,Cao Ji,$2.9 B,69,manufacturing,Manufacturing
1071,1064.,Chen Kaixuan,$2.9 B,62,household chemicals,Manufacturing
1072,1064.,Bennett Dorrance,$2.9 B,75,Campbell Soup,Food & Beverage
1073,1064.,Marcel Erni,$2.9 B,56,private equity,Finance & Investments
1074,1064.,Walter Faria,$2.9 B,66,beer,Food & Beverage
1075,1064.,Fu Guangming & family,$2.9 B,67,poultry,Food & Beverage
1076,1064.,Bob Gaglardi,$2.9 B,80,hotels,Real Estate
1077,1064.,Alfred Gantner,$2.9 B,53,private equity,Finance & Investments
1078,1064.,Maggie Hardy Knox,$2.9 B,55,building materials,Service
1079,1064.,Hu Yangzhong,$2.9 B,56,technology,Technology
1080,1064.,Huang Qiaoling,$2.9 B,62,amusement parks,Media & Entertainment
1081,1064.,Huang Zhenda & family,$2.9 B,73,construction,Construction & Engineering
1082,1064.,Brad Jacobs,$2.9 B,64,logistics,Logistics
1083,1064.,Osman Kibar,$2.9 B,50,biotech,Healthcare
1084,1064.,Kim Taek-jin,$2.9 B,54,online games,Media & Entertainment
1085,1064.,Maritsa Lazari & family,$2.9 B,76,real estate,Real Estate
1086,1064.,Pablo Legorreta,$2.9 B,57,investments,Finance & Investments
1087,1064.,Liang Yunchao,$2.9 B,52,nutritional supplements,Food & Beverage
1088,1064.,Samir Mehta,$2.9 B,57,"pharmaceuticals, power",Healthcare
1089,1064.,Sudhir Mehta,$2.9 B,66,"pharmaceuticals, power",Healthcare
1090,1064.,Farhad Moshiri,$2.9 B,65,diversified,Diversified
1091,1064.,Patrice Motsepe,$2.9 B,59,mining,Metals & Mining
1092,1064.,Matt Moulding,$2.9 B,49,e-commerce,Fashion & Retail
1093,1064.,Alexander Nesis,$2.9 B,58,"metals, banking, fertilizers",Finance & Investments
1094,1064.,Benjamin Otto,$2.9 B,N/A,retail,Fashion & Retail
1095,1064.,Lucy Peng,$2.9 B,48,e-commerce,Technology
1096,1064.,Sebastian Piñera & family,$2.9 B,71,investments,Finance & Investments
1097,1064.,Alexander Ponomarenko,$2.9 B,56,"real estate, airport",Logistics
1098,1064.,Chandru Raheja,$2.9 B,80,real estate,Real Estate
1099,1064.,Chad Richison,$2.9 B,50,payroll processing,Technology
1100,1064.,Arkady Rotenberg,$2.9 B,69,"construction, pipes, banking",Construction & Engineering
1101,1064.,Alejandro Santo Domingo,$2.9 B,44,beer,Food & Beverage
1102,1064.,Paul Sciarra,$2.9 B,40,Pinterest,Technology
1103,1064.,Alexander Skorobogatko,$2.9 B,53,"real estate, airport",Logistics
1104,1064.,Jeff Sutton,$2.9 B,61,real estate,Real Estate
1105,1064.,Glen Taylor,$2.9 B,79,printing,Service
1106,1064.,Urs Wietlisbach,$2.9 B,59,private equity,Finance & Investments
1107,1064.,Xu Yingzhuo,$2.9 B,53,agribusiness,Food & Beverage
1108,1064.,Jon Yarbrough,$2.9 B,63,video games,Gambling & Casinos
1109,1064.,Ye Fan & family,$2.9 B,50,auto dealerships,Automotive
1110,1111.,William Ackman,$2.8 B,54,hedge funds,Finance & Investments
1111,1111.,Abdulla bin Ahmad Al Ghurair & family,$2.8 B,N/A,diversified,Diversified
1112,1111.,Bai Baokun,$2.8 B,51,hardware,Manufacturing
1113,1111.,David Baszucki,$2.8 B,58,online games,Media & Entertainment
1114,1111.,Aneel Bhusri,$2.8 B,55,business software,Technology
1115,1111.,Norman Braman,$2.8 B,88,"art, car dealerships",Automotive
1116,1111.,Eva Maria Bucher-Haefner,$2.8 B,64,"software, investments",Technology
1117,1111.,Vivek Chand Burman,$2.8 B,83,consumer goods,Food & Beverage
1118,1111.,John Catsimatidis,$2.8 B,72,"oil, real estate",Energy
1119,1111.,Morris Chang,$2.8 B,89,semiconductors,Technology
1120,1111.,Chen Hua,$2.8 B,55,real estate,Real Estate
1121,1111.,Chen Huwen,$2.8 B,50,stationery,Manufacturing
1122,1111.,Chen Huxiong,$2.8 B,50,stationery,Manufacturing
1123,1111.,Chen Tianshi,$2.8 B,36,semiconductors,Technology
1124,1111.,James Clark,$2.8 B,77,"Netscape, investments",Technology
1125,1111.,Jean Coutu & family,$2.8 B,93,drugstores,Fashion & Retail
1126,1111.,Deng Weiming & family,$2.8 B,52,materials,Manufacturing
1127,1111.,Bergit Douglas,$2.8 B,74,consumer goods,Food & Beverage
1128,1111.,Doris Fisher,$2.8 B,89,Gap,Fashion & Retail
1129,1111.,Gary Friedman,$2.8 B,63,Furniture retail,Fashion & Retail
1130,1111.,Valentin Gapontsev & family,$2.8 B,82,lasers,Manufacturing
1131,1111.,David Gottesman,$2.8 B,94,investments,Finance & Investments
1132,1111.,John Henry,$2.8 B,71,sports,Sports
1133,1111.,Alan Howard,$2.8 B,57,hedge funds,Finance & Investments
1134,1111.,Micky Jagtiani,$2.8 B,69,retail,Fashion & Retail
1135,1111.,Travis Kalanick,$2.8 B,44,Uber,Technology
1136,1111.,Alicia Koplowitz,$2.8 B,67,"construction, investments",Finance & Investments
1137,1111.,Timur Kulibaev,$2.8 B,54,banking,Finance & Investments
1138,1111.,Dinara Kulibaeva,$2.8 B,53,banking,Finance & Investments
1139,1111.,Li Liufa & family,$2.8 B,63,"steel, diversified",Diversified
1140,1111.,Li Sze Lim,$2.8 B,64,real estate,Real Estate
1141,1111.,Li Xiaohua & family,$2.8 B,59,packaging,Manufacturing
1142,1111.,Liu Ming Hui,$2.8 B,58,natural gas distribution,Energy
1143,1111.,Lv Jianming,$2.8 B,56,medical equipment,Healthcare
1144,1111.,Rudy Ma,$2.8 B,80,finance,Finance & Investments
1145,1111.,"Drayton McLane, Jr.",$2.8 B,84,"Walmart, logistics",Fashion & Retail
1146,1111.,Hans Melchers,$2.8 B,82,"chemicals, investments",Finance & Investments
1147,1111.,Nguyen Thi Phuong Thao,$2.8 B,50,airlines,Diversified
1148,1111.,Philip Niarchos,$2.8 B,67,art collection,Diversified
1149,1111.,Alfred Oetker,$2.8 B,54,consumer goods,Fashion & Retail
1150,1111.,August Oetker,$2.8 B,76,consumer goods,Fashion & Retail
1151,1111.,Carl Ferdinand Oetker,$2.8 B,48,consumer goods,Fashion & Retail
1152,1111.,Christian Oetker,$2.8 B,72,consumer goods,Fashion & Retail
1153,1111.,Julia Oetker,$2.8 B,42,consumer goods,Fashion & Retail
1154,1111.,Richard Oetker,$2.8 B,70,consumer goods,Fashion & Retail
1155,1111.,Heloise Pratt,$2.8 B,58,"manufacturing, investment",Manufacturing
1156,1111.,Filiz Sahenk,$2.8 B,54,diversified,Diversified
1157,1111.,T. Denny Sanford,$2.8 B,85,"banking, credit cards",Finance & Investments
1158,1111.,Karin Schick,$2.8 B,N/A,information technology,Technology
1159,1111.,Hilton Schlosberg,$2.8 B,68,energy drinks,Food & Beverage
1160,1111.,Rosely Schweizer,$2.8 B,80,consumer goods,Fashion & Retail
1161,1111.,Warren Stephens,$2.8 B,64,investment banking,Finance & Investments
1162,1111.,Konstantin Strukov,$2.8 B,62,"gold, coal mining",Metals & Mining
1163,1111.,Kenneth Tuchman,$2.8 B,61,outsourcing,Service
1164,1111.,Masateru Uno & family,$2.8 B,74,drugstores,Fashion & Retail
1165,1111.,Stefan von Holtzbrinck,$2.8 B,57,publishing,Media & Entertainment
1166,1111.,Lars Wingefors,$2.8 B,44,video games,Media & Entertainment
1167,1111.,Wong Kwong Yu & family,$2.8 B,51,retail,Fashion & Retail
1168,1111.,Xiong Wu,$2.8 B,45,software,Technology
1169,1111.,Xu Jinfu,$2.8 B,57,chemicals,Manufacturing
1170,1111.,Tony Xu,$2.8 B,36,food delivery service,Technology
1171,1111.,Xu Zhihan,$2.8 B,48,electronics,Technology
1172,1111.,Zhong Ruonong & family,$2.8 B,58,electronics,Manufacturing
1173,1174.,Miriam Baumann-Blocher,$2.7 B,46,chemicals,Manufacturing
1174,1174.,Timothy Boyle,$2.7 B,71,Columbia Sportswear,Fashion & Retail
1175,1174.,John Paul DeJoria,$2.7 B,76,"hair products, tequila",Fashion & Retail
1176,1174.,Mitchell Goldhar,$2.7 B,59,real estate,Real Estate
1177,1174.,Luciano Hang,$2.7 B,58,department stores,Fashion & Retail
1178,1174.,Georg Haub,$2.7 B,59,retail,Fashion & Retail
1179,1174.,Victor Jacobsson,$2.7 B,39,fintech,Finance & Investments
1180,1174.,James Jannard,$2.7 B,71,sunglasses,Fashion & Retail
1181,1174.,Vinod Khosla,$2.7 B,66,venture capital,Technology
1182,1174.,Valentin Kipyatkov,$2.7 B,44,computer software,Technology
1183,1174.,Lim Kok Thay,$2.7 B,69,casinos,Gambling & Casinos
1184,1174.,Lu Zhiqiang,$2.7 B,68,real estate,Real Estate
1185,1174.,Sergio Mantegazza,$2.7 B,93,travel,Service
1186,1174.,Franziska Wuerbser & Gabriella Meister,$2.7 B,N/A,appliances,Manufacturing
1187,1174.,Nan Cunhui,$2.7 B,57,power equipment,Manufacturing
1188,1174.,Ou Zongrong & family,$2.7 B,57,real estate,Real Estate
1189,1174.,Sean Parker,$2.7 B,41,Facebook,Technology
1190,1174.,Richard Peery,$2.7 B,82,real estate,Real Estate
1191,1174.,"H. Ross Perot, Jr.",$2.7 B,62,real estate,Real Estate
1192,1174.,Su Suyu & family,$2.7 B,72,"utilities, real estate",Real Estate
1193,1174.,Sun Shoukuan,$2.7 B,71,"metals, coal",Manufacturing
1194,1174.,Harley Sy,$2.7 B,61,diversified,Diversified
1195,1174.,"Henry Sy, Jr.",$2.7 B,68,diversified,Diversified
1196,1174.,Teresita Sy-Coson,$2.7 B,70,diversified,Diversified
1197,1174.,Tao Yuequn,$2.7 B,61,Contact Lens,Fashion & Retail
1198,1174.,Tong Jinquan,$2.7 B,66,real estate,Real Estate
1199,1174.,Tsai Ming-kai,$2.7 B,71,semiconductors,Technology
1200,1174.,Yitzhak Tshuva,$2.7 B,72,real estate,Real Estate
1201,1174.,Oprah Winfrey,$2.7 B,67,TV shows,Media & Entertainment
1202,1174.,Zhang Wanzhen,$2.7 B,71,electronics components,Manufacturing
1203,1174.,Mortimer Zuckerman,$2.7 B,83,"real estate, media",Real Estate
1204,1205.,Brian Acton,$2.6 B,49,WhatsApp,Technology
1205,1205.,Rajendra Agarwal,$2.6 B,62,pharmaceuticals,Healthcare
1206,1205.,John Armitage,$2.6 B,61,hedge funds,Finance & Investments
1207,1205.,Banwari Lal Bawri,$2.6 B,68,pharmaceuticals,Healthcare
1208,1205.,Girdhari Lal Bawri,$2.6 B,73,pharmaceuticals,Healthcare
1209,1205.,Guilherme Benchimol,$2.6 B,44,financial services,Finance & Investments
1210,1205.,Cai Dongchen,$2.6 B,68,pharmaceuticals,Healthcare
1211,1205.,Choo Chong Ngen,$2.6 B,67,hotels,Real Estate
1212,1205.,Abilio dos Santos Diniz,$2.6 B,84,retail,Fashion & Retail
1213,1205.,"John Dorrance, III.",$2.6 B,77,Campbell Soup,Food & Beverage
