,Brand/Name/Color,RAM/ROM,Front/Back Camera,Battery Capacity,Size/Resolution Display,Processor/processor Cores,Price,URL
10,"realme C11 2021 (Cool Grey, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Octa-core Processor,"₹6,599",https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZMUPPAI&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG4BEGX8QYNKGZ.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
11,"POCO M3 (Cool Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,48MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Lithium-ion Polymer Battery,16.59 cm (6.53 inch) Full HD+ Display,Qualcomm Snapdragon 662 Processor,"₹11,499",https://www.flipkart.com/poco-m3-cool-blue-64-gb/p/itmc8ec867cb0472?pid=MOBFZTCUDDCTDN3G&lid=LSTMOBFZTCUDDCTDN3GJBLKQ8&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBFZTCUDDCTDN3G.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
12,"Infinix Smart 5A (Ocean Wave, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP + Depth Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Processor,"₹6,699",https://www.flipkart.com/infinix-smart-5a-ocean-wave-32-gb/p/itma0d1e81b14743?pid=MOBG56UGTK2UFKZA&lid=LSTMOBG56UGTK2UFKZAIWFL0J&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG56UGTK2UFKZA.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
13,"POCO X3 Pro (Steel Blue, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,48MP + 8MP + 2MP + 2MP | 20MP Front Camera,5160 mAh Lithium-ion Polymer Battery,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 860 Processor,"₹16,999",https://www.flipkart.com/poco-x3-pro-steel-blue-128-gb/p/itm92bc566db15d8?pid=MOBGFKNFXBYGHFHJ&lid=LSTMOBGFKNFXBYGHFHJM8QVIC&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBGFKNFXBYGHFHJ.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
14,"Infinix Smart 5A (Quetzal Cyan, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP + Depth Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Processor,"₹6,699",https://www.flipkart.com/infinix-smart-5a-quetzal-cyan-32-gb/p/itma0d1e81b14743?pid=MOBG56UGAS4CFKTK&lid=LSTMOBG56UGAS4CFKTKXZCJLS&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG56UGAS4CFKTK.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
15,"Infinix Smart 5A (Midnight Black, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP + Depth Sensor | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Processor,"₹6,699",https://www.flipkart.com/infinix-smart-5a-midnight-black-32-gb/p/itma0d1e81b14743?pid=MOBG56UGBGFN9JRN&lid=LSTMOBG56UGBGFN9JRN7VONX0&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG56UGBGFN9JRN.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
16,"realme Narzo 50i (Mint Green, 32 GB)",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) Display,SC9863A Processor,"₹7,499",https://www.flipkart.com/realme-narzo-50i-mint-green-32-gb/p/itm53fa214c23501?pid=MOBG6MY4BU22NQYT&lid=LSTMOBG6MY4BU22NQYTOJYHVM&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG6MY4BU22NQYT.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
17,"POCO C3 (Lime Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Li-ion Polymer Battery,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,"₹8,499",https://www.flipkart.com/poco-c3-lime-green-64-gb/p/itmac54a16ec8185?pid=MOBFVQJ5Z4QJNZFQ&lid=LSTMOBFVQJ5Z4QJNZFQNUPMWS&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBFVQJ5Z4QJNZFQ.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
18,"realme C21Y (Cross Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) HD+ Display,Unisoc T610 Processor,"₹8,999",https://www.flipkart.com/realme-c21y-cross-black-32-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKG2HRSQB8&lid=LSTMOBG5ZGKG2HRSQB84SHCIC&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG5ZGKG2HRSQB8.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
19,"Infinix Hot 10 Play (7° Purple, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + Depth Sensor | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,17.32 cm (6.82 inch) HD+ Display,MediaTek Helio G35 Processor,"₹7,799",https://www.flipkart.com/infinix-hot-10-play-7-purple-32-gb/p/itm1f660c8716944?pid=MOBG4ZY7ADYFEJ3H&lid=LSTMOBG4ZY7ADYFEJ3HZ0AJER&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG4ZY7ADYFEJ3H.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
20,"OPPO A33 (Moonlight Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,"₹8,990",https://www.flipkart.com/oppo-a33-moonlight-black-32-gb/p/itmec568a00f8945?pid=MOBFWQBWVGZYRGSR&lid=LSTMOBFWQBWVGZYRGSRWDNHUV&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBFWQBWVGZYRGSR.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
21,"REDMI 9i Sport (Carbon Black, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,13MP Rear Camera | 5MP Front Camera,5000 mAh Li-Polymer Battery,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,"₹8,499",https://www.flipkart.com/redmi-9i-sport-carbon-black-64-gb/p/itmf582940a5854e?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6BCUNBA&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG6WQWRGRRDBH6.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
22,"REDMI 9 Power (Electric Green, 64 GB)",4 GB RAM | 64 GB ROM,48MP + 8MP + 2MP + 2MP | 8MP Front Camera,6000 mAh Battery,16.59 cm (6.53 inch) Full HD+ Display,Qualcomm Snapdragon 662 Processor,"₹12,690",https://www.flipkart.com/redmi-9-power-electric-green-64-gb/p/itmca7d78e222ed7?pid=MOBFYZ7AVAXXB2TH&lid=LSTMOBFYZ7AVAXXB2THWKVL3Y&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBFYZ7AVAXXB2TH.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
23,"realme Narzo 50i (Mint Green, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery,16.51 cm (6.5 inch) Display,SC9863A Processor,"₹8,999",https://www.flipkart.com/realme-narzo-50i-mint-green-64-gb/p/itm53fa214c23501?pid=MOBG6MY4FYFMQ3JF&lid=LSTMOBG6MY4FYFMQ3JFX2AM0X&marketplace=FLIPKART&q=smartphones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=689b5b92-9855-4ac1-9a67-3d3eda1845a3.MOBG6MY4FYFMQ3JF.SEARCH&ppt=hp&ppn=homepage&ssid=wqm9cbpd8g0000001634734409922&qH=6ea4465d0add4685
