,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
181,Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102,1988
183,Spambase,Multivariate,Classification,"Integer, Real",4601,57,1999
185,SPECT Heart,Multivariate,Classification,Categorical,267,22,2001
187,SPECTF Heart,Multivariate,Classification,Integer,267,44,2001
189,Sponge,Multivariate,Clustering,"Categorical, Integer",76,45,
191,Statlog Project,,,,,,1992
193,Student Loan Relational,Domain-Theory,,,1000,,1993
195,Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5,1997
197,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,1991
199,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21,1987
201,Trains,Multivariate,Classification,Categorical,10,32,1994
203,University,Multivariate,Classification,"Categorical, Integer",285,17,1988
205,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987
207,Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38,1993
209,Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988
211,Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40,1988
213,Wine,Multivariate,Classification,"Integer, Real",178,13,1991
215,Yeast,Multivariate,Classification,Real,1484,8,1996
217,Zoo,Multivariate,Classification,"Categorical, Integer",101,17,1990
219,Undocumented,,,,,,
221,Twenty Newsgroups,Text,,,20000,,1999
223,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999
225,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002
227,US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68,
229,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40,2000
231,Coil 1999 Competition Data,Multivariate,,"Categorical, Real",340,17,1999
233,Corel Image Features,Multivariate,,Real,68040,89,1999
235,E. Coli Genes,Relational,,,,,2001
237,EEG Database,"Multivariate, Time-Series",,"Categorical, Integer, Real",122,4,1999
239,El Nino,Spatio-temporal,,"Integer, Real",178080,12,1999
241,Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender-Systems,Categorical,50672,,2000
243,CMU Face Images,Image,Classification,Integer,640,,1999
245,Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9000,86,2000
247,Internet Usage Data,Multivariate,,"Categorical, Integer",10104,72,1999
249,IPUMS Census Database,Multivariate,,"Categorical, Integer",256932,61,1999
251,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12,
253,KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481,1998
255,KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42,1999
257,M. Tuberculosis Genes,Relational,,,,,2001
259,Movie,"Multivariate, Relational",,,10000,,1999
261,MSNBC.com Anonymous Web Data,Sequential,,Categorical,989818,,
263,NSF Research Award Abstracts 1990-2003,Text,,,129000,,2003
265,Pioneer-1 Mobile Robot Data,"Multivariate, Time-Series",,"Categorical, Real",,,1999
267,Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",,,100000,,1999
269,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5,1997
271,Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90,1999
273,Synthetic Control Chart Time Series,Time-Series,"Classification, Clustering",Real,600,,1999
275,Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5,1998
