,Name,Year Span,Time and genere,Rating,Votes
67,Glee,(2009–2015),"['44 min', 'Comedy, Drama, Music']",6.7,"142,140"
68,South Park,(1997– ),"['22 min', 'Animation, Comedy']",8.7,"346,142"
69,Brooklyn Nine-Nine,(2013–2021),"['22 min', 'Comedy, Crime']",8.4,"269,955"
70,Under the Dome,(2013–2015),"['43 min', 'Drama, Mystery, Sci-Fi']",6.6,"103,728"
71,The Umbrella Academy,(2019– ),"['60 min', 'Action, Adventure, Comedy']",8,"184,699"
72,True Detective,(2014–2019),"['55 min', 'Crime, Drama, Mystery']",8.9,"526,115"
73,The OA,(2016–2019),"['60 min', 'Drama, Fantasy, Mystery']",7.8,"97,422"
74,Desperate Housewives,(2004–2012),"['45 min', 'Comedy, Drama, Mystery']",7.5,"122,097"
75,Better Call Saul,(2015–2022),"['46 min', 'Crime, Drama']",8.8,"362,341"
76,Bates Motel,(2013–2017),"['45 min', 'Drama, Horror, Mystery']",8.1,"102,438"
77,The Punisher,(2017–2019),"['53 min', 'Action, Crime, Drama']",8.5,"202,141"
78,Atypical,(2017–2021),"['30 min', 'Comedy, Drama']",8.3,"77,912"
79,Dynasty,(2017– ),"['42 min', 'Drama']",7.3,"18,442"
80,This Is Us,(2016–2022),"['45 min', 'Comedy, Drama, Romance']",8.6,"119,957"
81,The Good Place,(2016–2020),"['22 min', 'Comedy, Drama, Fantasy']",8.2,"134,595"
82,Iron Fist,(2017–2018),"['55 min', 'Action, Adventure, Crime']",6.4,"121,479"
83,The Rain,(2018–2020),"['45 min', 'Drama, Sci-Fi, Thriller']",6.3,"33,999"
84,Mindhunter,(2017– ),"['60 min', 'Crime, Drama, Thriller']",8.6,"247,040"
85,Revenge,(2011–2015),"['44 min', 'Drama, Mystery, Thriller']",7.8,"116,435"
86,Luke Cage,(2016–2018),"['55 min', 'Action, Crime, Drama']",7.3,"122,338"
87,Scandal,(2012–2018),"['43 min', 'Drama, Thriller']",7.7,"70,053"
88,The Defenders,(2017),"['50 min', 'Action, Adventure, Crime']",7.3,"96,915"
89,Big Little Lies,(2017–2019),"['60 min', 'Crime, Drama, Mystery']",8.5,"175,924"
90,Insatiable,(2018– ),"['45 min', 'Comedy, Drama, Thriller']",6.5,"25,310"
91,The Mentalist,(2008–2015),"['43 min', 'Crime, Drama, Mystery']",8.1,"173,108"
92,The Crown,(2016– ),"['58 min', 'Biography, Drama, History']",8.6,"177,753"
93,Chernobyl,(2019),"['330 min', 'Drama, History, Thriller']",9.4,"622,380"
94,iZombie,(2015–2019),"['42 min', 'Comedy, Crime, Drama']",7.8,"63,874"
95,Reign,(2013–2017),"['42 min', 'Drama, Fantasy']",7.5,"46,259"
96,A Series of Unfortunate Events,(2017–2019),"['50 min', 'Adventure, Comedy, Drama']",7.8,"57,098"
97,Criminal Minds,(2005–2020),"['42 min', 'Crime, Drama, Mystery']",8.1,"179,240"
98,Scream: The TV Series,(2015–2019),"['45 min', 'Comedy, Crime, Drama']",7.1,"37,533"
99,The Haunting of Hill House,(2018),"['572 min', 'Drama, Horror, Mystery']",8.6,"210,617"
